business_name,street_address,address_nickname,email_address,phone_primary,phone_secondary,website,hours_open_title,hours_open,payment_options,general_info,industry_searched,geo_location_searched
Jackson Hewitt Tax Service,"786 Broad St, Newark, NJ 07102",,JH.AES@JHnet.com, (877) 580-1040,,https://office.jacksonhewitt.com/tax-preparation-services-locations/en/nj/newark/786-broad-st/16237?utm_source=extnet&utm_medium=local&utm_campaign=localmaps&utm_content=16237,Regular Hours,,"amex, mastercard, visa, debit, discover, all major credit cards, check","Jackson Hewitt provides year-round support to hard-working clients with innovative, low-cost tax solutions. Call us for availability. Our clients get the Maximum Refund and Lifetime Accuracy guarantees, or we pay. Still need to file? Call our office or visit us online to learn about all available filing options. We are happy to help with your tax needs.",Data Management,"Newark, NJ"
Storage King USA,"1448 McCarter Hwy, Newark, NJ 07104",corner of McCarter Highway and Third Avenue,newark@storagekingusa.com, (973) 484-1900,,http://www.storagekingusa.com/locations/new-jersey/newark/newark,Regular Hours,,"mastercard, check, visa, amex, discover","At Storage King USA, we are dedicated to meeting all of your self-storage needs. Our professional & knowledgeable staff, convenient locations, modern facilities, free truck rental and competitive pricing are the keys to customer satisfaction. At Storage King USA the customer is always King!  Come in for your free tour today!  Storage King USA provides state-of-the-art security and a variety of unit sizes to fit every need. We offer a full line of boxes, packing supplies, and locks, along with the convenience of online transactions for reservations and payments.",Data Management,"Newark, NJ"
Clover Records Management,"155 Washington St, Newark, NJ 07102",,, (973) 643-0840,,,,,,,Data Management,"Newark, NJ"
The Darcel Group,"494 Broad St Ste BASE, Newark, NJ 07102",,darcel_matthews@yahoo.com, (973) 242-0161,,,,,,,Data Management,"Newark, NJ"
Iron Mountain,"110 Edison Pl, Newark, NJ 07102",,, (973) 623-2764,(973) 529-8241,http://www.ironmountain.com,,,,,Data Management,"Newark, NJ"
Jackson Hewitt,,,, (866) 546-0589,,https://www.jacksonhewitt.com/tax-help-options?utm_medium=display_yp&utm_source=yellowpages&utm_campaign=td-td-yp&promo=local,Regular Hours,,,"At Jackson Hewitt, we know taxes. We also know the IRS. So, whatever your tax issue, big or small, our expert Tax Pros can help. Contact us for tax audits, amending returns, IRS installment plans, late tax filing and more. Your Tax Pro does all the work so you don't have to. Bank on our 35 years of experience. Contact us today. You'll sleep better tonight.",Data Management,"Newark, NJ"
New Jersey Records Storage,"179 Lincoln Ave, Orange, NJ 07050",,, (973) 674-9233,,http://orange.schoolwires.com/Domain/83,,,,,SaaS,"Buffalo, NY"
Newark Federal Kids Care,"970 Broad St Ste 840, Newark, NJ 07102",,, (973) 645-3130,,,Regular Hours,,,,SaaS,"Buffalo, NY"
American Archiving & Shredding,"95 Freeway Dr W, Orange, NJ 07050",,, (862) 520-5831,(973) 395-2660,http://www.yourfilestorage.com,,,,,SaaS,"Buffalo, NY"
Pcm,"317 Washington Ave, Belleville, NJ 07109",,, (973) 302-7759,,,,,,,SaaS,"Buffalo, NY"
Archive Systems Inc,"25 Commerce Rd, Fairfield, NJ 07004",,info@archivesystems.com, (973) 808-2885,(973) 808-2965,http://www.archivesystems.com,,,"amex, master card, visa",,SaaS,"Buffalo, NY"
Control Data,"10 Rooney Cir, West Orange, NJ 07052",,, (973) 325-8700,,,,,,,SaaS,"Buffalo, NY"
Republic Data Products Inc,"14 Warner Rd, Maplewood, NJ 07040",,info@republicdata.com, (973) 761-5151,(973) 761-0943,http://www.republicdata.com,,,,,SaaS,"Buffalo, NY"
NJ Legal Express.com,,,njlegalexpress@gmail.com, (844) 472-2012,(973) 651-7125,http://www.njlegalexpress.com,Regular Hours,,"amex, debit, discover, paypal, visa, master card","New Jersey's ""24 Hour On Demand"" Service Specialist and your Instant Solution to your company's same day process service, summons & complaint, subpoena,landlord/tenant notices, foreclosures, skip-tracing, Immigration Filings, court filings, and document retrieval/research needs .......",SaaS,"Buffalo, NY"
Ppt Management,"1500 Pleasant Valley Way, West Orange, NJ 07052",,, (973) 731-1600,,,,,,,SaaS,"Buffalo, NY"
Jackson Hewitt Tax Service,"15338 Hillside Ave, Jamaica, NY 11432",,reliance08@yahoo.com, (718) 658-3825,,http://www.jacksonhewitt.com,Regular Hours,,,"Jackson Hewitt provides year-round support to hard-working clients with innovative, low-cost tax solutions. Call us for availability. Our clients get the Maximum Refund and Lifetime Accuracy guarantees, or we pay. Still need to file? Call our office or visit us online to learn about all available filing options. We are happy to help with your tax needs.",SaaS,"Buffalo, NY"
Iron Mountain,"112 Melrich Rd, Cranbury, NJ 08512",,requests@ironmountain.com, (844) 612-5218,,https://www.ironmountain.com/?utm_source=dex_media&utm_medium=referral&utm_campaign=Dex+Records+Management+Secure+Shredding,Regular Hours,,,"""With over 70 years of experience, a real estate network of more than 85 million square feet across 1,400 facilities, in over 50 countries, Iron Mountain is the global leader for records and information management. Over 75,000 small businesses across the world rely on us to protect information, unlock insights and transform operations through our range of services, including: document scanning and shredding, secure IT asset disposition, physical and digital/cloud storage, and more. Our services help businesses of all sizes and industries lower cost and risk, comply with regulations, recover from disaster and enable a more digital way of working. With a driving passion to protect, Iron Mountain vows to treat the information and assets of our customers as if they were our own. Visit our website for more information.   SECURE SHREDDING SERVICES - Choose between our onsite and offsite shredding services. Have one of our mobile shred trucks come to you for witnessed shredding, or opt for one of our uniformed drivers to pick up and securely transport your documents to a nearby Iron Mountain shred plant. Our shredding service is designed so that you can get the help you need, when you need it. Request a service, see how much material you've shredded or how many trees you've saved at any time of day through our online portal. Confused on what to keep and what to destroy? Our 24/7/365 customer support team is here to answer all of your questions. Most importantly, your shredding program is fully customizable to fit your organizations unique needs. Choose from witnessed onsite shredding or offsite shredding, multiple bin sizes, online scheduling and pre-arranged pickups, and enjoy the freedom to change your program at any time.   RECORDS MANAGEMENT & DOCUMENT STORAGE - Securely store your important records and business items close to home. Say goodbye to the hassles of packing and hauling boxes to a storage unit or trying to find a box in a packed basement. Our records management and document storage services are designed so that you can get the help you need, when you need it. Your records are accessible online with just a few simple clicks, and our 24/7/365 customer support team is here to answer all of your questions. Even better, our records management and document storage services are fully customizable- whether you're looking to store just a few boxes or an entire warehouse, we have an affordable package built to meet your needs and grow alongside your business.  DOCUMENT SCANNING SERVICES - Our expertly trained scanning specialists follow proven practices to ensure that we meet your requirements without sacrificing quality. Once scanned, images are securely delivered in the format you select. Our scanning solutions offer instant access through Iron Mountain Digital Record Center, your central electronic repository for the documents that we have imaged from your paper records. Search for, retrieve and share the information you need from any location, on any device, at any time of day. Whether youre looking to scan just a few critical documents or an entire office, we have an affordable package to meet and grow with your business needs.    IT ASSET DESTRUCTION SERVICES - Our secure ITAD solution prioritizes your business data security, sustainability and brand reputation. Well help you destroy, recycle and/or remarket your retired IT equipment through a reliable, environmentally-friendly and compliant process. Our ITAD approach will help you reduce e-waste and retain maximum value from your end-of-life IT assets, including your computers, mobile phones, servers, hard drives and more. We offer secure logistics and a rigorous chain-of-custody so that you can rest assured your data and reputation remains safe through technology transitions.""",SaaS,"Buffalo, NY"
Iron Mountain,"100 Harbor Dr, Jersey City, NJ 07305",,requests@ironmountain.com, (844) 709-0113,,https://www.ironmountain.com/?utm_source=dex_media&utm_medium=referral&utm_campaign=Dex+Records+Management+Secure+Shredding,Regular Hours,,,"""With over 70 years of experience, a real estate network of more than 85 million square feet across 1,400 facilities, in over 50 countries, Iron Mountain is the global leader for records and information management. Over 75,000 small businesses across the world rely on us to protect information, unlock insights and transform operations through our range of services, including: document scanning and shredding, secure IT asset disposition, physical and digital/cloud storage, and more. Our services help businesses of all sizes and industries lower cost and risk, comply with regulations, recover from disaster and enable a more digital way of working. With a driving passion to protect, Iron Mountain vows to treat the information and assets of our customers as if they were our own. Visit our website for more information.   SECURE SHREDDING SERVICES - Choose between our onsite and offsite shredding services. Have one of our mobile shred trucks come to you for witnessed shredding, or opt for one of our uniformed drivers to pick up and securely transport your documents to a nearby Iron Mountain shred plant. Our shredding service is designed so that you can get the help you need, when you need it. Request a service, see how much material you've shredded or how many trees you've saved at any time of day through our online portal. Confused on what to keep and what to destroy? Our 24/7/365 customer support team is here to answer all of your questions. Most importantly, your shredding program is fully customizable to fit your organizations unique needs. Choose from witnessed onsite shredding or offsite shredding, multiple bin sizes, online scheduling and pre-arranged pickups, and enjoy the freedom to change your program at any time.   RECORDS MANAGEMENT & DOCUMENT STORAGE - Securely store your important records and business items close to home. Say goodbye to the hassles of packing and hauling boxes to a storage unit or trying to find a box in a packed basement. Our records management and document storage services are designed so that you can get the help you need, when you need it. Your records are accessible online with just a few simple clicks, and our 24/7/365 customer support team is here to answer all of your questions. Even better, our records management and document storage services are fully customizable- whether you're looking to store just a few boxes or an entire warehouse, we have an affordable package built to meet your needs and grow alongside your business.  DOCUMENT SCANNING SERVICES - Our expertly trained scanning specialists follow proven practices to ensure that we meet your requirements without sacrificing quality. Once scanned, images are securely delivered in the format you select. Our scanning solutions offer instant access through Iron Mountain Digital Record Center, your central electronic repository for the documents that we have imaged from your paper records. Search for, retrieve and share the information you need from any location, on any device, at any time of day. Whether youre looking to scan just a few critical documents or an entire office, we have an affordable package to meet and grow with your business needs.    IT ASSET DESTRUCTION SERVICES - Our secure ITAD solution prioritizes your business data security, sustainability and brand reputation. Well help you destroy, recycle and/or remarket your retired IT equipment through a reliable, environmentally-friendly and compliant process. Our ITAD approach will help you reduce e-waste and retain maximum value from your end-of-life IT assets, including your computers, mobile phones, servers, hard drives and more. We offer secure logistics and a rigorous chain-of-custody so that you can rest assured your data and reputation remains safe through technology transitions.""",SaaS,"Buffalo, NY"
Iron Mountain,"1 Brick Plant Rd, South River, NJ 08882",,requests@ironmountain.com, (844) 338-5767,,https://www.ironmountain.com/?utm_source=dex_media&utm_medium=referral&utm_campaign=Dex+Records+Management+Secure+Shredding,Regular Hours,,,"""With over 70 years of experience, a real estate network of more than 85 million square feet across 1,400 facilities, in over 50 countries, Iron Mountain is the global leader for records and information management. Over 75,000 small businesses across the world rely on us to protect information, unlock insights and transform operations through our range of services, including: document scanning and shredding, secure IT asset disposition, physical and digital/cloud storage, and more. Our services help businesses of all sizes and industries lower cost and risk, comply with regulations, recover from disaster and enable a more digital way of working. With a driving passion to protect, Iron Mountain vows to treat the information and assets of our customers as if they were our own. Visit our website for more information.   SECURE SHREDDING SERVICES - Choose between our onsite and offsite shredding services. Have one of our mobile shred trucks come to you for witnessed shredding, or opt for one of our uniformed drivers to pick up and securely transport your documents to a nearby Iron Mountain shred plant. Our shredding service is designed so that you can get the help you need, when you need it. Request a service, see how much material you've shredded or how many trees you've saved at any time of day through our online portal. Confused on what to keep and what to destroy? Our 24/7/365 customer support team is here to answer all of your questions. Most importantly, your shredding program is fully customizable to fit your organizations unique needs. Choose from witnessed onsite shredding or offsite shredding, multiple bin sizes, online scheduling and pre-arranged pickups, and enjoy the freedom to change your program at any time.   RECORDS MANAGEMENT & DOCUMENT STORAGE - Securely store your important records and business items close to home. Say goodbye to the hassles of packing and hauling boxes to a storage unit or trying to find a box in a packed basement. Our records management and document storage services are designed so that you can get the help you need, when you need it. Your records are accessible online with just a few simple clicks, and our 24/7/365 customer support team is here to answer all of your questions. Even better, our records management and document storage services are fully customizable- whether you're looking to store just a few boxes or an entire warehouse, we have an affordable package built to meet your needs and grow alongside your business.  DOCUMENT SCANNING SERVICES - Our expertly trained scanning specialists follow proven practices to ensure that we meet your requirements without sacrificing quality. Once scanned, images are securely delivered in the format you select. Our scanning solutions offer instant access through Iron Mountain Digital Record Center, your central electronic repository for the documents that we have imaged from your paper records. Search for, retrieve and share the information you need from any location, on any device, at any time of day. Whether youre looking to scan just a few critical documents or an entire office, we have an affordable package to meet and grow with your business needs.    IT ASSET DESTRUCTION SERVICES - Our secure ITAD solution prioritizes your business data security, sustainability and brand reputation. Well help you destroy, recycle and/or remarket your retired IT equipment through a reliable, environmentally-friendly and compliant process. Our ITAD approach will help you reduce e-waste and retain maximum value from your end-of-life IT assets, including your computers, mobile phones, servers, hard drives and more. We offer secure logistics and a rigorous chain-of-custody so that you can rest assured your data and reputation remains safe through technology transitions.""",SaaS,"Buffalo, NY"
Wilder's Wordprocessing,"500 W End Ave, Ste 4E, New York, NY 10024",,wwpny@aol.com, (212) 580-1005,,,,,"cash, check","Typing services, novels, essays, articles, desktop publishing, graphic design, invitations & announcements, scanning, project management, preservation's, transcripts, resumes, legal. Serving the New York Tri state area. We have done work all thru the US. By appointment only, 100% articulate and satisfaction guaranteed.",SaaS,"Buffalo, NY"
Iron Mountain,"5 N 11th St, Brooklyn, NY 11249",,requests@ironmountain.com, (844) 466-6549,,https://www.ironmountain.com/?utm_source=dex_media&utm_medium=referral&utm_campaign=Dex+Records+Management+Secure+Shredding,Regular Hours,,"amex, visa, debit, discover, invoicing available, master card","""With over 70 years of experience, a real estate network of more than 85 million square feet across 1,400 facilities, in over 50 countries, Iron Mountain is the global leader for records and information management. Over 75,000 small businesses across the world rely on us to protect information, unlock insights and transform operations through our range of services, including: document scanning and shredding, secure IT asset disposition, physical and digital/cloud storage, and more. Our services help businesses of all sizes and industries lower cost and risk, comply with regulations, recover from disaster and enable a more digital way of working. With a driving passion to protect, Iron Mountain vows to treat the information and assets of our customers as if they were our own. Visit our website for more information.   SECURE SHREDDING SERVICES - Choose between our onsite and offsite shredding services. Have one of our mobile shred trucks come to you for witnessed shredding, or opt for one of our uniformed drivers to pick up and securely transport your documents to a nearby Iron Mountain shred plant. Our shredding service is designed so that you can get the help you need, when you need it. Request a service, see how much material you've shredded or how many trees you've saved at any time of day through our online portal. Confused on what to keep and what to destroy? Our 24/7/365 customer support team is here to answer all of your questions. Most importantly, your shredding program is fully customizable to fit your organizations unique needs. Choose from witnessed onsite shredding or offsite shredding, multiple bin sizes, online scheduling and pre-arranged pickups, and enjoy the freedom to change your program at any time.   RECORDS MANAGEMENT & DOCUMENT STORAGE - Securely store your important records and business items close to home. Say goodbye to the hassles of packing and hauling boxes to a storage unit or trying to find a box in a packed basement. Our records management and document storage services are designed so that you can get the help you need, when you need it. Your records are accessible online with just a few simple clicks, and our 24/7/365 customer support team is here to answer all of your questions. Even better, our records management and document storage services are fully customizable- whether you're looking to store just a few boxes or an entire warehouse, we have an affordable package built to meet your needs and grow alongside your business.  DOCUMENT SCANNING SERVICES - Our expertly trained scanning specialists follow proven practices to ensure that we meet your requirements without sacrificing quality. Once scanned, images are securely delivered in the format you select. Our scanning solutions offer instant access through Iron Mountain Digital Record Center, your central electronic repository for the documents that we have imaged from your paper records. Search for, retrieve and share the information you need from any location, on any device, at any time of day. Whether youre looking to scan just a few critical documents or an entire office, we have an affordable package to meet and grow with your business needs.    IT ASSET DESTRUCTION SERVICES - Our secure ITAD solution prioritizes your business data security, sustainability and brand reputation. Well help you destroy, recycle and/or remarket your retired IT equipment through a reliable, environmentally-friendly and compliant process. Our ITAD approach will help you reduce e-waste and retain maximum value from your end-of-life IT assets, including your computers, mobile phones, servers, hard drives and more. We offer secure logistics and a rigorous chain-of-custody so that you can rest assured your data and reputation remains safe through technology transitions.""",SaaS,"Buffalo, NY"
Iron Mountain,"317 Madison Ave, New York, NY 10017",,requests@ironmountain.com, (844) 837-4469,,https://www.ironmountain.com/?utm_source=dex_media&utm_medium=referral&utm_campaign=Dex+Records+Management+Secure+Shredding,Regular Hours,,,"""With over 70 years of experience, a real estate network of more than 85 million square feet across 1,400 facilities, in over 50 countries, Iron Mountain is the global leader for records and information management. Over 75,000 small businesses across the world rely on us to protect information, unlock insights and transform operations through our range of services, including: document scanning and shredding, secure IT asset disposition, physical and digital/cloud storage, and more. Our services help businesses of all sizes and industries lower cost and risk, comply with regulations, recover from disaster and enable a more digital way of working. With a driving passion to protect, Iron Mountain vows to treat the information and assets of our customers as if they were our own. Visit our website for more information.   SECURE SHREDDING SERVICES - Choose between our onsite and offsite shredding services. Have one of our mobile shred trucks come to you for witnessed shredding, or opt for one of our uniformed drivers to pick up and securely transport your documents to a nearby Iron Mountain shred plant. Our shredding service is designed so that you can get the help you need, when you need it. Request a service, see how much material you've shredded or how many trees you've saved at any time of day through our online portal. Confused on what to keep and what to destroy? Our 24/7/365 customer support team is here to answer all of your questions. Most importantly, your shredding program is fully customizable to fit your organizations unique needs. Choose from witnessed onsite shredding or offsite shredding, multiple bin sizes, online scheduling and pre-arranged pickups, and enjoy the freedom to change your program at any time.   RECORDS MANAGEMENT & DOCUMENT STORAGE - Securely store your important records and business items close to home. Say goodbye to the hassles of packing and hauling boxes to a storage unit or trying to find a box in a packed basement. Our records manage",SaaS,"Buffalo, NY"
Ray Laks Acura,"7460 Transit Rd, Buffalo, NY 14221","Ray Laks Honda is a Buffalo, NY Honda dealer, serving the entire Western NY area.  Our professional, first class sales, service and parts teams will provide you with an experience you will never forget.  Whether looking for new or used vehicles, call us or stop in, and relax, it's Ray Laks.",sales@raylaks.com, (716) 632-1111,(716) 632-1111,http://www.raylaks.com,Regular Hours,,"mastercard, visa, amex, discover","The story of the Ray Laks Family of Dealerships starts in 1963, when Ray Laks opened his first dealership on Delaware Avenue in Buffalo and began a tradition of selling great cars and trucks that continues to this day.  In 1968  the store was moved to 120 Orchard Park Rd in West Seneca.  Picking up Honda in 1971, Ray Laks Honda quickly became WNY's #1 selling Honda Dealership and is WNY's oldest Honda dealer.  Already known for providing great service, the expansion continued, and a body shop was opened in 1972 to provide for more his customers needs.  Ray Laks was getting more involved with the community as well, beginning work with hospice of Buffalo and other local charities.  The addition of Acura in 1995, one of the original 50 Acura dealerships in the United States, and expansion of the dealerships' presence in the Pre-Owned market allowed for more buying power and savings that could be passed down to the consumer. Acquiring Mitsubishi in 2006, Ray Laks added to its growing, loyal customer base.  Employing over 200 of your friends and neighbors in Western New York and selling nearly 2,500 cars every year, the Ray Laks Family of Dealerships looks forward to serving you, our customers, old friends and new, for many years to come.",SaaS,"Buffalo, NY"
North Buffalo Continental Transmission,"909 Hertel Ave, Buffalo, NY 14216",,info@transmissionrepairwny.com, (716) 877-9650,,http://www.transmissionrepairwny.com,Regular Hours,,"mastercard, discover, visa",,SaaS,"Buffalo, NY"
Connors & Ferris LLP,"2570 Walden Ave, Buffalo, NY 14225",,tom@connorsandferris.com, (716) 684-2667,(716) 249-0171,http://www.connorsandferris.com,Regular Hours,,,,SaaS,"Buffalo, NY"
Audiomotive Creations,"1167 Niagara Falls Blvd, Buffalo, NY 14226",,, (716) 783-7480,,http://www.audiomotivecreations.com,Regular Hours,,all major credit cards,,SaaS,"Buffalo, NY"
Lia Honda Williamsville,"4891 Transit Rd, Buffalo, NY 14221",Lia Honda Williamsville is located at 4891 Transit Rd Williamsville NY 14221,, (716) 616-3686,(716) 632-3323,http://liacars.com,Regular Hours,,"debit, check, cash, all major credit cards, financing available","Lia Honda of Williamsville is an automobile dealership that offers new and pre-owned vehicles. Its Honda models include the Accord, Civic, Element, Pilot and Odyssey. The dealership provides pre-owned vehicles from several makes, including Mazda, Kia, Chrysler, Saturn and Toyota. Lia Honda of Williamsville also offers a variety of manufacturer-recommended parts and accessories. The dealership provides financing and leasing options through various certified lenders. It has a service center that offers maintenance, oil change and car brake inspection services, as well as transmission and shock replacement options. The dealership provides cars, trucks and sport utility vehicles. In addition, it offers gift cards. Lia Honda of Williamsville is a part of Lia Auto Group.",SaaS,"Buffalo, NY"
Lovallo & Williams,"295 Main St Rm 1088, Buffalo, NY 14203",,, (716) 854-1112,,,Regular Hours,,cash only,"Professional, affordable, dedicated and zealous legal representation to individuals and small businesses. As a general practice, Lovallo & Williams will take on nearly any type of case.",SaaS,"Buffalo, NY"
Firestone Complete Auto Care,"3931 Maple Rd, Buffalo, NY 14226",,nope@nope.com, (716) 247-6407,(716) 837-0517,https://local.firestonecompleteautocare.com/new-york/buffalo/3931-maple-rd/?lw_cmp=IYP_YPC_MLP_18112,Regular Hours,,"visa, amex, discover, master card","Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience.",SaaS,"Buffalo, NY"
Firestone Complete Auto Care,"995 Niagara Falls Blvd, Buffalo, NY 14226",,nope@none.com, (716) 249-0315,(716) 837-9708,https://local.firestonecompleteautocare.com/new-york/buffalo/995-niagara-falls-blvd/?lw_cmp=IYP_YPC_MLP_1570,Regular Hours,,"amex, visa, discover, master card","Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience.",SaaS,"Buffalo, NY"
Firestone Complete Auto Care,"500 Thruway Plaza Dr, Buffalo, NY 14225",Thruway Plaza,, (716) 249-2619,(716) 896-1515,https://local.firestonecompleteautocare.com/new-york/buffalo/500-thruway-plaza-dr/?lw_cmp=IYP_YPC_MLP_1481,Regular Hours,,"master card, visa, amex, discover","Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience.",SaaS,"Buffalo, NY"
